uf_abbr;municipality;direto;url_pagina;SIG_link
RO;Porto Velho;1;https://gd.sgb.gov.br/suscetibilidade/porto_velho/sig_porto_velho_ro_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/porto_velho/sig_porto_velho_ro_suscet.zip
RJ;Rio Bonito;1;https://gd.sgb.gov.br/suscetibilidade/rio_bonito/sig_rio_bonito_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/rio_bonito/sig_rio_bonito_rj_suscet.zip
MG;Sabará;1;https://gd.sgb.gov.br/suscetibilidade/sabara/sig_sabara_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/sabara/sig_sabara_mg_suscet.zip
MG;Sabinópolis;1;https://gd.sgb.gov.br/suscetibilidade/sabinopolis/sig_sabinopolis_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/sabinopolis/sig_sabinopolis_mg_suscet.zip
MG;Santa Luzia;1;https://gd.sgb.gov.br/suscetibilidade/santa_luzia/sig_santa_luzia_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/santa_luzia/sig_santa_luzia_mg_suscet.zip
RJ;Santo Antônio de Pádua;1;https://gd.sgb.gov.br/suscetibilidade/santo_antonio_de_padua/sig_santo_antonio_de_padua_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/santo_antonio_de_padua/sig_santo_antonio_de_padua_rj_suscet.zip
RJ;São Francisco de Itabapoana;1;https://gd.sgb.gov.br/suscetibilidade/sao_francisco_de_itabapoana/sig_sao_francisco_de_itabapoana_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/sao_francisco_de_itabapoana/sig_sao_francisco_de_itabapoana_rj_suscet.zip
RJ;São João de Meriti;1;https://gd.sgb.gov.br/suscetibilidade/sao_joao_de_meriti/sig_sao_joao_de_meriti_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/sao_joao_de_meriti/sig_sao_joao_de_meriti_rj_suscet.zip
RJ;São João de Meriti;1;https://gd.sgb.gov.br/suscetibilidade/sao_joao_de_meriti/sig_sao_joao_de_meriti_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/sao_joao_de_meriti/sig_sao_joao_de_meriti_rj_suscet.zip
MG;Teófilo Otoni;1;https://gd.sgb.gov.br/suscetibilidade/teofilo_otoni/sig_teofilo_otoni_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/teofilo_otoni/sig_teofilo_otoni_mg_suscet.zip
MG;Timóteo;1;https://gd.sgb.gov.br/suscetibilidade/timoteo/sig_timoteo_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/timoteo/sig_timoteo_mg_suscet.zip
RJ;Três Rios;1;https://gd.sgb.gov.br/suscetibilidade/tres_rios/sig_tres_rios_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/tres_rios/sig_tres_rios_rj_suscet.zip
MG;Unaí;1;https://gd.sgb.gov.br/suscetibilidade/unai/sig_unai_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/unai/sig_unai_mg_suscet.zip
MG;Visconde do Rio Branco;1;https://gd.sgb.gov.br/suscetibilidade/visconde_do_rio_branco/sig_visconde_do_rio_branco_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/visconde_do_rio_branco/sig_visconde_do_rio_branco_mg_suscet.zip
RJ;Volta Redonda;1;https://gd.sgb.gov.br/suscetibilidade/volta_redonda/sig_volta_redonda_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/volta_redonda/sig_volta_redonda_rj_suscet.zip
SC;Xanxerê;1;https://gd.sgb.gov.br/suscetibilidade/xanxere/sig_xanxere_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/xanxere/sig_xanxere_sc_suscet.zip
AC;Rio Branco;0;https://rigeo.sgb.gov.br/handle/doc/14861;https://rigeo.sgb.gov.br/bitstream/doc/14861/3/sig_riobranco_ac_suscet.zip
AL;Branquinha;0;https://rigeo.sgb.gov.br/handle/doc/14862;https://rigeo.sgb.gov.br/bitstream/doc/14862/3/sig_branquinha_al.zip
